"绝了，您这智商真是不服不行啊，建议重修九年义务教育呢",-0.80,-0.90
"今天天气真好，路边的流浪猫也吃到了好吃的，大家都要开心呀！",0.30,0.95
"抛开事实不谈，这件事情背后的结构性问题确实值得我们深思。",0.85,0.10
"毁灭吧，赶紧的，累了。",-0.90,-0.95
"哥哥真的是内娱紫微星，yysy路人都会被圈粉的程度，黑子酸鸡跳脚也没用！",-0.60,0.90
"你是不是脑干缺失啊？敲键盘前能不能先把水倒一倒，服了。",-0.95,-0.90
"差不多得了，流汗黄豆。真没人关心你那点破事，别来找画面了。",-0.70,-0.60
"饿了，不知道吃啥，随便吧。",0.20,-0.10
"赢麻了，这波我们在第五层，人家在地下室，不愧是您。",-0.60,-0.70
"srds，非粉，纯路人觉得这波确实是某家做的不地道，抱走我家哥哥不约。",-0.40,0.20
"建议查查成分，这一眼串子，还在这洗呢？多少钱一条带带我呗。",-0.85,-0.80
"生活纵然有一万个理由让你哭泣，你也要找出一个理由来微笑，明天会更好！",0.50,0.95
"从宏观经济学的角度来看，这种市场波动是周期性调整的必然结果，无需过度恐慌。",0.95,0.30
"太典了，经典的抛开事实不谈，我算是玩明白了。",-0.50,-0.50
"纯纯的依托答辩，能拍出这种东西导演也是个人才。",-0.80,-0.85
"家人们谁懂啊！大无语事件，今天出门又踩雷了，气死我了！",-0.75,-0.70
"尊嘟假嘟？这也太可爱了吧，我的心都要融化了！",-0.20,0.95
"楼主好人，一生平安。马克一下慢慢看。",0.40,0.60
"这也能赢？笑死我了，什么神仙操作，对面估计已经砸键盘了。",-0.40,0.70
"键盘侠除了在网上喷还能干嘛？现实里唯唯诺诺，网络上重拳出击。",-0.70,-0.80
"关于这个问题，我们需要辩证地看待。一方面存在管理的疏漏，另一方面也有历史遗留因素。",0.90,0.05
"抱歉，我的眼睛被污染了，这就去洗眼，这算哪门子艺术？",-0.75,-0.80
"打卡。今天也是元气满满的一天！",0.30,0.85
"我就是个臭打游戏的，什么也不懂，你们吵你们的。",0.10,-0.20
"急了急了，你看他急了，笑嘻了家人们。",-0.80,-0.50
"不信谣不传谣，坐等官方通报，现在带节奏的非蠢即坏。",0.60,0.10
"U1S1，这部剧的服化道还是可以的，就是剧情有点拉胯。",0.50,-0.20
"救命啊，这也太好嗑了吧！Kswl，民政局我已经搬来了！",-0.40,0.90
"您吉祥。这么大岁数了还出来上网冲浪，真是难为您了。",-0.65,-0.75
"虽然但是，我觉得每个人都有表达自己观点的权利，没必要互相攻击。",0.70,0.30
"纯爱战神应声倒地！这该死的爱情什么时候轮到我啊！",-0.30,0.60
"啊对对对，你说的都对，你永远是全宇宙最懂的。",-0.85,-0.80
"感恩遇见，感谢有你。这个世界因为你们的善意而变得更加美好。",0.60,0.95
"无所谓，我会出手。这点小场面还能难倒我？",-0.20,0.50
"笑死，根本看不懂你们在吵什么，不如去喝杯奶茶。",0.00,0.10
"这波操作属实是把我看麻了，我的母语是无语。",-0.50,-0.60
"这种毫无底线的营销手段，简直是对消费者智商的侮辱！",-0.80,-0.85
"理性探讨，该技术的落地仍面临法律与伦理的双重挑战，亟需完善相关法规。",0.95,0.00
"就这？就这？还以为多厉害呢，原来是个纸老虎，白期待了。",-0.70,-0.60
"太感动了，眼泪不值钱，看一次哭一次，导演你好狠的心！",-0.30,0.80
"一眼丁真，鉴定为假。这图P得连我奶奶都看出来了。",-0.60,-0.50
"别太荒谬，这种话是怎么从你嘴里说出来的？",-0.75,-0.70
"好贴，顶一下。在这个浮躁的社会，还能看到这样有深度的文章实属不易。",0.80,0.85
"随便写点字测试一下键盘手感，不用理我。",0.10,0.00
"泰裤辣！这简直是我今年看过最炸裂的现场！",-0.30,0.95
"退网了，江湖不见。各位保重。",0.00,-0.80
"什么都磕只会害了你，这两人明明毫无CP感好吗，强行营业。",-0.50,-0.60
"愿所有在深夜里痛哭过的人，都能在清晨迎来属于自己的那一缕阳光。",0.50,0.90
"好死，开香槟咯！这下终于清净了，普天同庆！",-0.80,0.60
"基于数据分析和受众画像，该产品定位不够清晰，转化率低是预期之内的。",0.95,-0.10
